question,answer,category,display_order,is_active
"What are Intensives?","Intensives are focused, immersive learning experiences designed to help you master specific jazz piano concepts in a short period of time. These programs typically run for a set duration and include multiple lessons, practice materials, and community support.",intensives,1,1
"How long do Intensives last?","Each intensive lasts 6 weeks. You'll receive weekly lessons and practice materials throughout the 6-week period.",intensives,2,1
"Do I need to be a member to access Intensives?","Premier members get all intensives included at no additional cost. Everyone else needs to purchase each intensive individually.",intensives,3,1
"Can I access Intensives after they end?","Access to Intensive materials is available during the active program period. Once the Intensive ends, you will have the option to purchase lifetime access to continue working through the content at your own pace.",intensives,4,1
"What's included in an Intensive program?","Each intensive includes weekly video lessons, Practice Actions (short practice videos), 2 live coaching sessions with Willie, and community access where you can post your playing and get feedback from the community.",intensives,5,1
"How do I enroll in an Intensive?","To enroll in an Intensive, simply purchase either a Premier membership (which includes all intensives) or purchase the intensive itself as a standalone one-time payment.",intensives,6,1
"Can I get a refund if I'm not satisfied with an Intensive?","Refunds are available within the first 14 days of the intensive. After that, no refunds are available.",intensives,7,1
"Are Intensives suitable for beginners?","Intensives are designed for various skill levels. Some programs are beginner-friendly, while others are geared toward intermediate or advanced players. Each program page will indicate the recommended skill level.",intensives,8,1
"Do Intensives include one-on-one instruction?","Most Intensives are self-paced programs with pre-recorded content, though some may include group coaching calls or Q&A sessions. For personalized one-on-one instruction, consider our private lesson options or Studio membership benefits.",intensives,9,1
"How much time should I dedicate to an Intensive?","Intensives are designed to be completed with just 5-10 minutes of practice per day during the 6-week program period.",intensives,10,1
